condition,condition_label,delta_cost,gap_mad,rank_span,margin_norm,raw_margin_rank,first_clamp,pre_final,final_weight,log_pre_over_upper,upper_clip
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.5652173757553101,0.24530842900276184,2.193690538406372,2.193690538406372,3.8811450004577637,2.5,0.6345542669296265,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.21739129722118378,0.5501569509506226,1.0702810287475586,1.0702810287475586,4.923293113708496,2.5,0.9776955246925354,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.260869562625885,1.6027917861938477,0.5926641225814819,0.5926641225814819,2.271879196166992,2.271879196166992,-0.13804198801517487,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.30434781312942505,1.2659114599227905,0.7125120162963867,0.7125120162963867,2.341110944747925,2.341110944747925,-0.09473475068807602,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391304671764374,0.3980652689933777,1.2246259450912476,1.2246259450912476,7.041599273681641,2.5,1.493975043296814,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.3478260934352875,1.3830909729003906,0.7001688480377197,0.7001688480377197,2.0129854679107666,2.0129854679107666,-0.3125913143157959,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.3913043439388275,0.1552734375,2.6786842346191406,2.5,6.388888835906982,2.5,1.3536369800567627,1.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.9130434989929199,2.1963772773742676,0.6172756552696228,0.6172756552696228,0.6760637760162354,0.6760637760162354,-1.8866969347000122,0.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.6086956262588501,2.316154718399048,0.5766540765762329,0.5766540765762329,0.9473603367805481,0.9473603367805481,-1.3999428749084473,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.43478259444236755,0.5182597041130066,1.3319576978683472,1.3319576978683472,3.063502788543701,2.5,0.29325413703918457,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.47826087474823,0.4833645522594452,1.4171204566955566,1.4171204566955566,2.9630699157714844,2.5,0.24516460299491882,1.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.95652174949646,0.4974844455718994,1.507683277130127,1.507683277130127,1.57621431350708,1.57621431350708,-0.6654644012451172,0.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.8260869383811951,1.7371857166290283,0.706587553024292,0.706587553024292,0.8553428649902344,0.8553428649902344,-1.5473532676696777,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521739363670349,0.027773626148700714,8.269232749938965,2.5,3.8333332538604736,2.5,0.6166713237762451,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.13043475151062012,0.18497052788734436,1.809809923171997,1.809809923171997,13.875212669372559,2.5,2.4725098609924316,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.260869562625885,2.6736226081848145,0.4359883964061737,0.4359883964061737,1.6712888479232788,1.6712888479232788,-0.5809669494628906,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391306161880493,1.1937315464019775,0.6336252093315125,0.6336252093315125,3.6433446407318115,2.5,0.5433353781700134,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.21739131212234497,0.5051612257957458,1.1265013217926025,1.1265013217926025,5.181905746459961,2.5,1.0515546798706055,1.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6086956858634949,0.5091919898986816,1.4310227632522583,1.4310227632522583,2.350965738296509,2.350965738296509,-0.08867457509040833,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.6521739363670349,0.15318132936954498,2.968444585800171,2.5,3.8333332538604736,2.5,0.6166713237762451,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.43478259444236755,0.30427810549736023,1.83339524269104,1.83339524269104,4.216809272766113,2.5,0.7542237043380737,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.782608687877655,0.33815184235572815,1.87906014919281,1.87906014919281,2.4010212421417236,2.4010212421417236,-0.05827990919351578,0.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.9130434989929199,2.8268039226531982,0.5305495262145996,0.5305495262145996,0.581078052520752,0.581078052520752,-2.1051242351531982,0.0
source,FFSP100 ckpt @ FFSP100,5.0,5.0,0.695652186870575,0.7308541536331177,1.1708495616912842,1.1708495616912842,1.683096170425415,1.683096170425415,-0.5708104968070984,0.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.4782608449459076,1.0947728157043457,0.8677158355712891,0.8677158355712891,1.8143150806427002,1.8143150806427002,-0.4625031352043152,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.1304347813129425,0.2993074357509613,1.3558900356292725,1.3558900356292725,10.395156860351562,2.5,2.0559115409851074,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391303181648254,0.7533273696899414,0.835191547870636,0.835191547870636,4.802351951599121,2.5,0.941813051700592,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.21739128232002258,0.41644710302352905,1.2648926973342896,1.2648926973342896,5.818507194519043,2.5,1.2187209129333496,1.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.260869562625885,0.5336265563964844,1.146547794342041,1.146547794342041,4.395100116729736,2.5,0.8139679431915283,1.0
