condition,condition_label,axis,bin,x_mid,y_mean,y_q25,y_q75,count
transfer,FFSP100 ckpt @ FFSP50,rank_span,13.0,0.3913043439388275,0.4182692307692308,0.0,1.0,208.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,14.0,0.43478259444236755,0.3645833333333333,0.0,1.0,96.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,15.0,0.43478262424468994,0.4147727272727273,0.0,1.0,176.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,16.0,0.47826087474823,0.3819444444444444,0.0,1.0,144.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,17.0,0.52173912525177,0.2916666666666667,0.0,1.0,192.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,18.0,0.5652173757553101,0.3068181818181818,0.0,1.0,176.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,19.0,0.6086956560611725,0.29464285714285715,0.0,1.0,224.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,20.0,0.6521739363670349,0.22321428571428573,0.0,0.0,112.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,21.0,0.7391303777694702,0.19230769230769232,0.0,0.0,208.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,22.0,0.782608687877655,0.19444444444444445,0.0,0.0,144.0
transfer,FFSP100 ckpt @ FFSP50,rank_span,23.0,0.8913043737411499,0.09895833333333333,0.0,0.0,192.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,5.0,1.0,0.8760869565217392,1.0,1.0,920.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,10.0,2.0,0.6602409638554216,0.0,1.0,830.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,15.0,3.0,0.46887966804979253,0.0,1.0,723.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,18.0,4.0,0.3713733075435203,0.0,1.0,517.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,20.0,5.0,0.3224852071005917,0.0,1.0,338.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,22.0,6.0,0.25476190476190474,0.0,1.0,420.0
transfer,FFSP100 ckpt @ FFSP50,delta_cost,23.0,8.0,0.18902439024390244,0.0,0.0,164.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,0.0,0.04041503183543682,1.0,1.0,1.0,162.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,1.0,0.11656682938337326,1.0,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,2.0,0.2000245302915573,1.0,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,3.0,0.28548702597618103,0.9316770186335404,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,4.0,0.3532634675502777,0.84472049689441,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,5.0,0.4199220836162567,0.8633540372670807,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,6.0,0.5066790580749512,0.7701863354037267,1.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,7.0,0.5906866788864136,0.7329192546583851,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,8.0,0.6805937886238098,0.7469135802469136,0.25,1.0,162.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,9.0,0.7644381523132324,0.6149068322981367,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,10.0,0.8508975505828857,0.546583850931677,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,11.0,0.9527318477630615,0.5093167701863354,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,12.0,1.0516955852508545,0.40993788819875776,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,13.0,1.1402809619903564,0.40993788819875776,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,14.0,1.2483973503112793,0.40993788819875776,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,15.0,1.3542028665542603,0.35403726708074534,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,16.0,1.4867095947265625,0.2839506172839506,0.0,1.0,162.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,17.0,1.6033504009246826,0.3105590062111801,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,18.0,1.7226722240447998,0.2670807453416149,0.0,1.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,19.0,1.8854706287384033,0.14906832298136646,0.0,0.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,20.0,2.063242197036743,0.21739130434782608,0.0,0.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,21.0,2.277132987976074,0.16149068322981366,0.0,0.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,22.0,2.621602773666382,0.14906832298136646,0.0,0.0,161.0
target_trained,FFSP50 ckpt @ FFSP50,margin_norm,23.0,3.1939446926116943,0.12345679012345678,0.0,0.0,162.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,0.0,0.04347825050354004,1.0,1.0,1.0,122.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,1.0,0.08695651590824127,1.0,1.0,1.0,167.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,2.0,0.13043475151062012,0.9801980198019802,1.0,1.0,101.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,3.0,0.1304347962141037,0.9818181818181818,1.0,1.0,220.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,4.0,0.17391303181648254,0.8962962962962963,1.0,1.0,135.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,5.0,0.17391306161880493,0.884393063583815,1.0,1.0,173.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,6.0,0.21739129722118378,0.7166666666666667,0.0,1.0,60.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,7.0,0.21739131212234497,0.7472527472527473,0.25,1.0,182.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,8.0,0.260869562625885,0.6515151515151515,0.0,1.0,264.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,10.0,0.30434781312942505,0.6022304832713755,0.0,1.0,269.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,11.0,0.3478260636329651,0.48792270531400966,0.0,1.0,207.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,12.0,0.3695652186870575,0.4791666666666667,0.0,1.0,96.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,13.0,0.3913043439388275,0.4567307692307692,0.0,1.0,208.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,14.0,0.43478262424468994,0.4326923076923077,0.0,1.0,208.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,15.0,0.4782608449459076,0.421875,0.0,1.0,64.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,16.0,0.47826087474823,0.375,0.0,1.0,144.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,17.0,0.52173912525177,0.2552083333333333,0.0,1.0,192.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,18.0,0.5652173757553101,0.2840909090909091,0.0,1.0,176.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,19.0,0.6086956560611725,0.24107142857142858,0.0,0.0,224.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,20.0,0.6521739363670349,0.21428571428571427,0.0,0.0,112.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,21.0,0.7391303777694702,0.16826923076923078,0.0,0.0,208.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,22.0,0.782608687877655,0.14583333333333334,0.0,0.0,144.0
target_trained,FFSP50 ckpt @ FFSP50,rank_span,23.0,0.8913043737411499,0.140625,0.0,0.0,192.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,6.0,1.0,0.8455284552845529,1.0,1.0,984.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,12.0,2.0,0.609504132231405,0.0,1.0,968.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,16.0,3.0,0.44309559939301973,0.0,1.0,659.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,19.0,4.0,0.32548179871520344,0.0,1.0,467.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,21.0,5.0,0.3413173652694611,0.0,1.0,334.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,22.0,6.0,0.1875,0.0,0.0,192.0
target_trained,FFSP50 ckpt @ FFSP50,delta_cost,23.0,7.0,0.18181818181818182,0.0,0.0,264.0
