probe,seed_index,anchor,condition,raw_ess,ess,uniform_mixture,max_over_uniform
10,2,warm,all_pair_endpoint,0.9999979300027526,0.9999979300027526,0.0,1.000452465939371
10,2,warm,gap_endpoint,0.9523858918605526,0.9523858918605526,0.0,1.492547388379581
10,2,warm,anchor_gap_endpoint,0.47619429055402007,0.4761942906492589,0.0,2.9704588345299503
10,2,warm,anchor_hard_endpoint,0.49855607359891485,0.4985560736986261,0.0,2.249937204769364
11,2,scratch,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
11,2,scratch,anchor_is,0.49999999999999994,0.5000000000999999,0.0,1.9999999998000002
11,2,scratch,all_pair_endpoint,0.9999941543395999,0.9999941543395999,0.0,1.000855001760299
11,2,scratch,gap_endpoint,0.9523844386011763,0.9523844386011762,0.0,1.4925597023880959
11,2,scratch,anchor_gap_endpoint,0.47619727968910724,0.4761972797843467,0.0,2.9702970294059416
11,2,scratch,anchor_hard_endpoint,0.49458001967354337,0.49458001977245936,0.0,2.4376441115040692
11,2,warm,uniform,0.9999999999999999,0.9999999999999994,0.0,1.0000000000000002
