subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed1,warm,scratch,anchor_hard_endpoint,one_point,0.6092222066760202,0.008564367294311648,0.11736137125015249,0.033125,0.125,0.004875518052100943,0.9947954940759738,0.9,0.9399999999999998
seed1,warm,scratch,anchor_hard_endpoint,euclidean_two_point,0.6084189180430203,0.008564367294311648,0.09487012449264516,0.033125,0.125,0.004875518052100943,0.9947954940759738,0.9,0.9399999999999998
seed1,warm,scratch,anchor_hard_endpoint,fisher_two_point,0.6171320802940063,0.008658030700683383,0.1179748148727416,0.158125,0.25,0.007141203991889762,0.9947954940759738,0.9,0.9399999999999998
seed1,warm,warm,anchor_hard_endpoint,one_point,0.6402762446524689,0.0016396430969241038,0.10127531396865845,0.0,0.0,0.0009785377278327166,0.9947954940759738,0.9,0.9399999999999998
seed1,warm,warm,anchor_hard_endpoint,euclidean_two_point,0.6416257500082951,0.0016396430969241038,0.08605891620635989,0.0,0.0,0.0009785377278327166,0.9947954940759738,0.9,0.9399999999999998
seed1,warm,warm,anchor_hard_endpoint,fisher_two_point,0.6445144520179341,0.0016396430969241038,0.10128628892898561,0.0,0.0,0.001013826538562722,0.9947954940759738,0.9,0.9399999999999998
seed2,scratch,scratch,uniform,one_point,0.34308327012711143,0.00787053718566888,0.06228313507080061,0.150625,0.25,0.06269559664964647,0.9976480534988984,0.95,0.9800000000000001
seed2,scratch,scratch,uniform,euclidean_two_point,0.3453477988369848,0.00787053718566888,0.06238883451461781,0.19375,0.25,0.06306560496950127,0.9976480534988984,0.95,0.9800000000000001
seed2,scratch,scratch,uniform,fisher_two_point,0.33286959581049946,0.00787053718566888,0.062189514827728144,0.116875,0.25,0.005673694396018869,0.9976480534988984,0.95,0.9800000000000001
seed2,scratch,warm,uniform,one_point,0.3093962013877125,0.001449698638916086,0.05523148448944095,0.125,0.125,0.027271400069713514,0.9976480534988984,0.95,0.9800000000000001
