subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
all,warm,scratch,anchor_is,fisher_two_point,0.6268721547578199,0.010719831085205023,0.11831583751678457,0.035625,0.125,0.004671112567901434,0.9946678148194423,0.875,0.945
all,warm,warm,anchor_is,one_point,0.6470564599316259,0.001703379058838106,0.10130375448226929,0.0,0.0,0.0009765554075240313,0.9946678148194423,0.875,0.945
all,warm,warm,anchor_is,euclidean_two_point,0.6508968205830429,0.001703379058838106,0.08608735671997073,0.0,0.0,0.0009765554075240313,0.9946678148194423,0.875,0.945
all,warm,warm,anchor_is,fisher_two_point,0.6523809353125484,0.0016396430969241038,0.10129217308044436,0.0,0.0,0.0009615241618155401,0.9946678148194423,0.875,0.945
all,warm,scratch,all_pair_endpoint,one_point,0.3955388823554162,0.008205457687378015,0.05296886486053463,0.19,0.25,0.06304425382661798,0.9998923338360473,0.975,0.9550000000000001
all,warm,scratch,all_pair_endpoint,euclidean_two_point,0.3954429461315498,0.008205457687378015,0.052817759799957245,0.19,0.25,0.06304425382661798,0.9998923338360473,0.975,0.9550000000000001
all,warm,scratch,all_pair_endpoint,fisher_two_point,0.3952789954669681,0.008205457687378015,0.05275082521438594,0.065,0.125,0.004777412957191354,0.9998923338360473,0.975,0.9550000000000001
all,warm,warm,all_pair_endpoint,one_point,0.3949895206893332,0.0015486171722414177,0.028060970954895036,0.125,0.125,0.02722192233085623,0.9998923338360473,0.975,0.9550000000000001
all,warm,warm,all_pair_endpoint,euclidean_two_point,0.394931312824019,0.0015486171722414177,0.028067028675079375,0.125,0.125,0.02722192233085623,0.9998923338360473,0.975,0.9550000000000001
all,warm,warm,all_pair_endpoint,fisher_two_point,0.39469406734378965,0.0015486171722414177,0.028089585037231468,0.0,0.0,0.0010335424933431226,0.9998923338360473,0.975,0.9550000000000001
all,warm,scratch,gap_endpoint,one_point,0.3942121835974126,0.008205457687378015,0.048170258407592814,0.065,0.125,0.005227100450515696,0.9996199476156592,0.95,0.9650000000000001
