length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,0,15,p_euclidean,0.9999999999999999,3.0357660829594124e-18,4.597524617955262e-13,0.008992373739322108,0.0,0.05999999931984758
0.06,30,scratch,0,15,fisher,0.9999999999999999,2.541098841762901e-20,4.597524617955262e-13,0.009023683595748507,0.0,0.05999281971130867
0.06,30,scratch,1,0,p_euclidean,0.9999999999999999,2.7755575615628914e-16,4.597524617955262e-13,0.008904630899263147,0.0,0.05999930232854951
0.06,30,scratch,1,0,fisher,0.9999999999999999,1.951563910473908e-18,4.28426391585468e-13,0.008942958936934475,0.0,0.059992589510279505
0.06,30,scratch,1,1,p_euclidean,0.9999999999999999,3.0531133177191805e-16,4.597524617955262e-13,0.00890855808490619,0.0,0.0599994284497373
0.06,30,scratch,1,1,fisher,0.9999999999999999,1.951563910473908e-18,4.597524617955262e-13,0.008946823262805506,0.0,0.05999261945738636
0.06,30,scratch,1,2,p_euclidean,1.0,4.440892098500626e-16,4.597524617955262e-13,0.00896776369535022,0.0,0.059999445230768264
0.06,30,scratch,1,2,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.009000881041577303,0.0,0.05999253437742353
0.06,30,scratch,1,3,p_euclidean,1.0,2.7755575615628914e-16,4.597524617955262e-13,0.008952432315107442,0.0,0.05999951295210637
0.06,30,scratch,1,3,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.008987127932575159,0.0,0.05999267686234294
0.06,30,scratch,1,4,p_euclidean,1.0,2.220446049250313e-16,4.597524617955262e-13,0.0088826657966847,0.0,0.05999897819312043
0.06,30,scratch,1,4,fisher,1.0,1.951563910473908e-18,4.597524617955262e-13,0.008925511644908918,0.0,0.059992217769060996
0.06,30,scratch,1,5,p_euclidean,1.0,2.498001805406602e-16,4.597524617955262e-13,0.008963060344798528,0.0,0.05999938404218353
0.06,30,scratch,1,5,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.008997439690232837,0.0,0.059992677879902256
0.06,30,scratch,1,6,p_euclidean,1.0,1.942890293094024e-16,4.597524617955262e-13,0.008899510719239667,0.0,0.05999892239963585
0.06,30,scratch,1,6,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.008938057246635999,0.0,0.05999213210802974
0.06,30,scratch,1,7,p_euclidean,1.0,1.6653345369377348e-16,4.597524617955262e-13,0.008884251816347584,0.0,0.05999914324428389
0.06,30,scratch,1,7,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.008926522736954717,0.0,0.05999236415832229
0.06,30,scratch,1,8,p_euclidean,1.0,2.3592239273284576e-16,4.597524617955262e-13,0.00887560158795798,0.0,0.05999925172199422
0.06,30,scratch,1,8,fisher,1.0,2.0599841277224584e-18,4.597524617955262e-13,0.008916808591473561,0.0,0.059992659793836604
0.06,30,scratch,1,9,p_euclidean,1.0000000000000002,3.608224830031759e-16,4.597524617955262e-13,0.008931948156238769,0.0,0.05999942631386037
0.06,30,scratch,1,9,fisher,1.0000000000000002,1.734723475976807e-18,4.28426391585468e-13,0.008970284894623141,0.0,0.05999245679663284
0.06,30,scratch,1,10,p_euclidean,1.0,1.942890293094024e-16,4.597524617955262e-13,0.008948547323643561,0.0,0.05999894728086534
0.06,30,scratch,1,10,fisher,1.0,1.734723475976807e-18,4.597524617955262e-13,0.008985240095190309,0.0,0.05999245607413738
0.06,30,scratch,1,11,p_euclidean,1.0000000000000002,2.498001805406602e-16,4.597524617955262e-13,0.008915236961580959,0.0,0.059999377451590674
0.06,30,scratch,1,11,fisher,1.0000000000000002,1.734723475976807e-18,2.377074231896259e-13,0.008954233922131153,0.0,0.05999267856263825
0.06,30,scratch,1,12,p_euclidean,1.0,2.498001805406602e-16,4.597524617955262e-13,0.008910702149352688,0.0,0.05999930943861905
0.06,30,scratch,1,12,fisher,1.0,1.734723475976807e-18,4.597524617955262e-13,0.008948871340676304,0.0,0.059992661728927074
0.06,30,scratch,1,13,p_euclidean,0.9999999999999999,2.914335439641036e-16,4.597524617955262e-13,0.008927118811742893,0.0,0.059999310498364836
0.06,30,scratch,1,13,fisher,0.9999999999999999,2.0599841277224584e-18,4.597524617955262e-13,0.008964909321817453,0.0,0.059992441687171126
0.06,30,scratch,1,14,p_euclidean,1.0,2.3592239273284576e-16,4.597524617955262e-13,0.008886131380566284,0.0,0.059999454598663175
0.06,30,scratch,1,14,fisher,1.0,1.5178830414797062e-18,4.597524617955262e-13,0.008926099217225801,0.0,0.05999247171654569
0.06,30,scratch,1,15,p_euclidean,0.9999999999999998,2.498001805406602e-16,4.597524617955262e-13,0.00892887910237873,0.0,0.059999351346706725
0.06,30,scratch,1,15,fisher,0.9999999999999998,1.3010426069826053e-18,4.597524617955262e-13,0.008965271307733835,0.0,0.05999252103709683
0.06,30,scratch,2,0,p_euclidean,1.0,1.5265566588595902e-16,4.597524617955262e-13,0.008886594354744,0.0,0.059999237791530144
0.06,30,scratch,2,0,fisher,1.0,9.75781955236954e-19,4.597524617955262e-13,0.008932541244666534,0.0,0.05999338271289112
0.06,30,scratch,2,1,p_euclidean,1.0000000000000002,2.3592239273284576e-16,4.597524617955262e-13,0.00888717688492329,0.0,0.05999933923293496
0.06,30,scratch,2,1,fisher,1.0000000000000002,1.5178830414797062e-18,2.377074231896259e-13,0.008929078205543001,0.0,0.05999369503668266
0.06,30,scratch,2,2,p_euclidean,1.0000000000000002,1.6653345369377348e-16,4.597524617955262e-13,0.00871656155330245,0.0,0.059998785805393105
0.06,30,scratch,2,2,fisher,1.0000000000000002,1.0842021724855044e-18,4.597524617955262e-13,0.008778794766398108,0.0,0.05999245229380715
0.06,30,scratch,2,3,p_euclidean,1.0,1.249000902703301e-16,6.817970667205575e-13,0.008749346316730387,0.0,0.05999902459108409
0.06,30,scratch,2,3,fisher,1.0,1.3010426069826053e-18,4.597524617955262e-13,0.008810087753314965,0.0,0.05999322847884673
0.06,30,scratch,2,4,p_euclidean,0.9999999999999999,1.942890293094024e-16,4.597524617955262e-13,0.00868995288830452,0.0,0.0599991149219951
0.06,30,scratch,2,4,fisher,0.9999999999999999,1.1926223897340549e-18,4.597524617955262e-13,0.008752704934639281,0.0,0.059993903864248056
0.06,30,scratch,2,5,p_euclidean,1.0,1.5959455978986625e-16,2.377074231896259e-13,0.008638099187721144,0.0,0.05999905124807134
0.06,30,scratch,2,5,fisher,1.0,9.75781955236954e-19,4.597524617955262e-13,0.008704413437307814,0.0,0.05999318837603883
0.06,30,scratch,2,6,p_euclidean,1.0,1.6653345369377348e-16,4.597524617955262e-13,0.009017149123734141,0.0,0.05999861653884369
0.06,30,scratch,2,6,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.009050583732292687,0.0,0.059992817467105664
0.06,30,scratch,2,7,p_euclidean,1.0,1.6653345369377348e-16,2.377074231896259e-13,0.008594491637502729,0.0,0.05999859597768219
0.06,30,scratch,2,7,fisher,1.0,1.0842021724855044e-18,4.28426391585468e-13,0.00866948901849347,0.0,0.05999284415668616
0.06,30,scratch,2,8,p_euclidean,1.0,1.942890293094024e-16,4.597524617955262e-13,0.008877207273317658,0.0,0.05999888170300978
0.06,30,scratch,2,8,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008918252161741344,0.0,0.05999333165405891
0.06,30,scratch,2,9,p_euclidean,1.0000000000000002,1.3877787807814457e-16,4.597524617955262e-13,0.00873325693714284,0.0,0.059999157906327046
0.06,30,scratch,2,9,fisher,1.0000000000000002,1.0842021724855044e-18,4.597524617955262e-13,0.008792648376145847,0.0,0.05999314103319973
0.06,30,scratch,2,10,p_euclidean,1.0,1.942890293094024e-16,4.597524617955262e-13,0.008742691936542153,0.0,0.05999887487944207
0.06,30,scratch,2,10,fisher,1.0,1.3010426069826053e-18,4.28426391585468e-13,0.008796657604140987,0.0,0.0599930363118478
0.06,30,scratch,2,11,p_euclidean,1.0,1.6653345369377348e-16,4.597524617955262e-13,0.008870182263806899,0.0,0.05999916993502657
0.06,30,scratch,2,11,fisher,1.0,1.3010426069826053e-18,4.597524617955262e-13,0.008910869273150325,0.0,0.05999372417995724
0.06,30,scratch,2,12,p_euclidean,1.0,1.3877787807814457e-16,4.597524617955262e-13,0.008760481325857938,0.0,0.05999921084523221
0.06,30,scratch,2,12,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008810835080622623,0.0,0.059993342688721744
0.06,30,scratch,2,13,p_euclidean,1.0,1.942890293094024e-16,4.597524617955262e-13,0.008771194437201353,0.0,0.05999901286206191
0.06,30,scratch,2,13,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008824232624956517,0.0,0.05999373264309094
0.06,30,scratch,2,14,p_euclidean,1.0,1.734723475976807e-16,4.597524617955262e-13,0.00892942712663952,0.0,0.05999918039055409
0.06,30,scratch,2,14,fisher,1.0,1.0842021724855044e-18,4.597524617955262e-13,0.008969697997704204,0.0,0.05999300200205289
0.06,30,scratch,2,15,p_euclidean,1.0000000000000002,1.6653345369377348e-16,4.597524617955262e-13,0.008800556689477377,0.0,0.05999891570889257
0.06,30,scratch,2,15,fisher,1.0000000000000002,1.0842021724855044e-18,2.377074231896259e-13,0.008849617817988114,0.0,0.05999345319484111
0.06,30,scratch,3,0,p_euclidean,1.0,2.498001805406602e-16,4.597524617955262e-13,0.00898909537684459,0.0,0.05999999985417445
0.06,30,scratch,3,0,fisher,1.0,2.168404344971009e-18,4.28426391585468e-13,0.009020779837575042,0.0,0.059992811205194854
0.06,30,scratch,3,1,p_euclidean,1.0,2.498001805406602e-16,4.597524617955262e-13,0.00898904309823955,0.0,0.05999999985480367
0.06,30,scratch,3,1,fisher,1.0,1.951563910473908e-18,4.597524617955262e-13,0.00902073085976543,0.0,0.05999281139938824
0.06,30,scratch,3,2,p_euclidean,1.0,3.885780586188048e-16,4.597524617955262e-13,0.008989120830619238,0.0,0.059999999855840036
0.06,30,scratch,3,2,fisher,1.0,2.168404344971009e-18,4.597524617955262e-13,0.009020802024600582,0.0,0.0599928111309083
0.06,30,scratch,3,3,p_euclidean,1.0000000000000002,3.0531133177191805e-16,4.597524617955262e-13,0.008988945345247329,0.0,0.05999999985532185
0.06,30,scratch,3,3,fisher,1.0000000000000002,2.168404344971009e-18,4.597524617955262e-13,0.009020644044668395,0.0,0.059992811271618915
0.06,30,scratch,3,4,p_euclidean,1.0000000000000002,2.220446049250313e-16,4.597524617955262e-13,0.008988922720952237,0.0,0.05999999985444094
0.06,30,scratch,3,4,fisher,1.0000000000000002,1.734723475976807e-18,4.597524617955262e-13,0.009020622579721508,0.0,0.05999281147819092
0.06,30,scratch,3,5,p_euclidean,1.0,2.220446049250313e-16,4.597524617955262e-13,0.008988905037209293,0.0,0.059999999853219514
0.06,30,scratch,3,5,fisher,1.0,2.6020852139652106e-18,4.597524617955262e-13,0.009020605696221573,0.0,0.0599928113359848
0.06,30,scratch,3,6,p_euclidean,1.0,1.8041124150158794e-16,4.597524617955262e-13,0.008989070152038259,0.0,0.059999999857527825
0.06,30,scratch,3,6,fisher,1.0,1.5178830414797062e-18,4.597524617955262e-13,0.009020757078608888,0.0,0.05999281119007694
0.06,30,scratch,3,7,p_euclidean,1.0,2.7755575615628914e-16,4.597524617955262e-13,0.008989099258426225,0.0,0.05999999985404861
0.06,30,scratch,3,7,fisher,1.0,1.734723475976807e-18,4.597524617955262e-13,0.009020782373404234,0.0,0.05999281127641637
0.06,30,scratch,3,8,p_euclidean,1.0,2.42861286636753e-16,4.597524617955262e-13,0.008989248164975623,0.0,0.05999999985562536
0.06,30,scratch,3,8,fisher,1.0,3.0899761915836876e-18,2.377074231896259e-13,0.00902091606184026,0.0,0.05999281127207793
