dataset,bank,candidate,probe,geometry,steps,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
matched,scratch,1,15,fisher,30,1.0,1.5987211554602254e-14,1.0597640386772467e-12,0.00936544175724666,0.0,0.029999264613009325
matched,scratch,1,15,p_euclidean,60,1.0,2.0463630789890885e-12,1.993641254686984e-12,0.009349971436090669,0.0,0.029999759907298158
matched,scratch,1,15,fisher,60,1.0,1.0658141036401503e-14,1.105462834986859e-12,0.009365605318562766,0.0,0.029999264059758283
matched,scratch,2,0,initial,0,1.0,5.551115123125783e-17,0.0,0.01,0.0,0.0
matched,scratch,2,0,p_euclidean,30,1.0,3.3306690738754696e-16,1.0597640386772467e-12,0.009415743182148783,0.0,0.029999827617535103
matched,scratch,2,0,fisher,30,1.0,2.6020852139652106e-18,1.0597640386772467e-12,0.009429569590728628,0.0,0.029999267572854864
matched,scratch,2,0,p_euclidean,60,1.0,4.440892098500626e-16,1.993641254686984e-12,0.009415661932453195,0.0,0.029999827517062976
matched,scratch,2,0,fisher,60,1.0,3.469446951953614e-18,1.993641254686984e-12,0.00942972589110956,0.0,0.029999266999559408
matched,scratch,2,1,initial,0,1.0,1.942890293094024e-16,0.0,0.01,0.0,0.0
matched,scratch,2,1,p_euclidean,30,1.0,3.3306690738754696e-16,7.165930175634383e-13,0.00941358038402892,0.0,0.029999835392954623
matched,scratch,2,1,fisher,30,1.0,4.336808689942018e-18,1.0597640386772467e-12,0.009426158434757784,0.0,0.0299993312082864
matched,scratch,2,1,p_euclidean,60,1.0,3.885780586188048e-16,1.105462834986859e-12,0.009413521353215513,0.0,0.029999835300402452
matched,scratch,2,1,fisher,60,1.0,3.469446951953614e-18,1.105462834986859e-12,0.009426314589089173,0.0,0.0299993306577901
matched,scratch,2,2,initial,0,1.0,2.7755575615628914e-17,0.0,0.01,0.0,0.0
matched,scratch,2,2,p_euclidean,30,1.0,4.163336342344337e-16,7.165930175634383e-13,0.009294755081997657,0.0,0.029999682094652955
matched,scratch,2,2,fisher,30,1.0,1.951563910473908e-18,6.156748288271841e-13,0.009314974674879245,0.0,0.029999065641502478
matched,scratch,2,2,p_euclidean,60,1.0,3.885780586188048e-16,1.105462834986859e-12,0.00929462281810729,0.0,0.029999681810200136
matched,scratch,2,2,fisher,60,1.0,3.2526065174565133e-18,1.993641254686984e-12,0.009315190211885328,0.0,0.029999064859807394
matched,scratch,2,3,initial,0,1.0,1.3877787807814457e-16,0.0,0.01,0.0,0.0
matched,scratch,2,3,p_euclidean,30,1.0,4.440892098500626e-16,7.165930175634383e-13,0.009323490724637042,0.0,0.02999975900054514
matched,scratch,2,3,fisher,30,1.0,2.6020852139652106e-18,1.160682227413501e-12,0.009342734224493264,0.0,0.02999922709204876
matched,scratch,2,3,p_euclidean,60,1.0,3.885780586188048e-16,1.993641254686984e-12,0.009323374751022243,0.0,0.029999758790821864
matched,scratch,2,3,fisher,60,1.0,3.0357660829594124e-18,1.993641254686984e-12,0.009342948347928896,0.0,0.029999226484999614
matched,scratch,2,4,initial,0,1.0,1.6653345369377348e-16,0.0,0.01,0.0,0.0
