epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
92,1849,,,,,,0.6799944043159485,250.0,0.6799944043159485,-51.89999771118164,-56.073333740234375,,
92,1859,,,,,,,,,,,-52.387001037597656,-55.81329345703125
,1860,,,266.8613839149475,,,,,,,,,
93,1879,,,,,,,,,,,-52.36899948120117,-55.71871566772461
,1880,,,330.03180837631226,,,,,,,,,
,1899,,,,,8363.205194473267,,,,,,,
,1899,,,,45.13144493103027,,,,,,,,
94,1899,,,,,,0.6836156249046326,250.0,0.6836156249046326,-51.47999954223633,-56.005001068115234,,
94,1899,,,,,,,,,,,-52.388999938964844,-55.724666595458984
,1900,,,328.012654542923,,,,,,,,,
95,1919,,,,,,,,,,,-52.4109992980957,-55.828250885009766
,1920,,,329.87719678878784,,,,,,,,,
96,1939,,,,,,,,,,,-52.29499816894531,-55.67766571044922
,1940,,,327.6156098842621,,,,,,,,,
,1949,,,,,8915.432453155518,,,,,,,
,1949,,,,17.75836944580078,,,,,,,,
97,1949,,,,,,0.6837677359580994,250.0,0.6837677359580994,-51.7599983215332,-56.21333312988281,,
97,1959,,,,,,,,,,,-52.347999572753906,-55.670345306396484
,1960,,,324.5825173854828,,,,,,,,,
98,1979,,,,,,,,,,,-52.35100173950195,-55.71741485595703
,1980,,,320.3205647468567,,,,,,,,,
,1999,,,,,8597.470760345459,,,,,,,
,1999,,,,41.342973709106445,,,,,,,,
99,1999,,,,,,0.6874488592147827,250.0,0.6874488592147827,-52.03999710083008,-56.28333282470703,,
99,1999,,,,,,,,,,,-52.13199996948242,-55.496673583984375
,2000,,,323.3276398181915,,,,,,,,,
100,2019,,,,,,,,,,,-52.26300048828125,-55.72134017944336
,2020,,,315.39586305618286,,,,,,,,,
101,2039,,,,,,,,,,,-52.159000396728516,-55.59154510498047
,2040,,,315.22590494155884,,,,,,,,,
,2049,,,,,8289.036750793457,,,,,,,
,2049,,,,15.702247619628906,,,,,,,,
102,2049,,,,,,0.6863324046134949,250.0,0.6863324046134949,-52.39999771118164,-56.44000244140625,,
102,2059,,,,,,,,,,,-52.143001556396484,-55.507503509521484
,2060,,,313.2595226764679,,,,,,,,,
103,2079,,,,,,,,,,,-52.07099914550781,-55.48358154296875
,2080,,,318.5951955318451,,,,,,,,,
,2099,,,,,8791.712045669556,,,,,,,
,2099,,,,39.58845138549805,,,,,,,,
