epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,,2249,,,,,8117.885589599609,,,,,
,,2249,,,,25.212764739990234,,,,,,
70,,2249,,,,,,0.68711256980896,-92.65625,-96.44140625,,
70,,2271,,,,,,,,,-92.07099914550781,-95.34591674804688
,,2272,,,455.1164002418518,,,,,,,
,0.0001,2272,,,,,,,,,,
,,2299,,,,,7694.155216217041,,,,,
,,2299,,,,39.12186622619629,,,,,,
71,,2299,,,,,,0.6860226392745972,-92.84375,-96.66796875,,
71,,2303,,,,,,,,,-92.08499908447266,-95.4045181274414
,,2304,,,462.5526783466339,,,,,,,
,0.0001,2304,,,,,,,,,,
72,,2335,,,,,,,,,-92.1240005493164,-95.4371337890625
,,2336,,,458.8646545410156,,,,,,,
,0.0001,2336,,,,,,,,,,
,,2349,,,,,7902.745485305786,,,,,
,,2349,,,,24.985074996948242,,,,,,
73,,2349,,,,,,0.6887862682342529,-93.71875,-97.79296875,,
73,,2367,,,,,,,,,-92.03900146484375,-95.36550903320312
,,2368,,,454.5930233001709,,,,,,,
,0.0001,2368,,,,,,,,,,
,,2399,,,,,7729.595184326172,,,,,
,,2399,,,,38.327693939208984,,,,,,
74,,2399,,,,,,0.6937338709831238,-92.125,-96.11979675292969,,
74,,2399,,,,,,,,,-92.07499694824219,-95.36547088623047
,,2400,,,461.5947861671448,,,,,,,
,0.0001,2400,,,,,,,,,,
75,,2431,,,,,,,,,-92.05500030517578,-95.3931884765625
,,2432,,,476.9827790260315,,,,,,,
,0.0001,2432,,,,,,,,,,
,,2449,,,,,8361.481666564941,,,,,
,,2449,,,,27.626514434814453,,,,,,
76,,2449,,,,,,0.6838926672935486,-91.375,-95.69401550292969,,
76,,2463,,,,,,,,,-92.1520004272461,-95.46270751953125
,,2464,,,464.1326220035553,,,,,,,
,0.0001,2464,,,,,,,,,,
77,,2495,,,,,,,,,-92.10399627685547,-95.3552474975586
,,2496,,,456.5692162513733,,,,,,,
,0.0001,2496,,,,,,,,,,
,,2499,,,,,7474.358081817627,,,,,
,,2499,,,,37.68205642700195,,,,,,
78,,2499,,,,,,0.6883142590522766,-92.375,-96.17578125,,
78,,2527,,,,,,,,,-91.9800033569336,-95.27788543701172
,,2528,,,462.9808762073517,,,,,,,
,0.0001,2528,,,,,,,,,,
,,2549,,,,,7865.681886672974,,,,,
,,2549,,,,25.703907012939453,,,,,,
79,,2549,,,,,,0.6889920830726624,-91.71875,-95.80208587646484,,
79,,2559,,,,,,,,,-92.05500030517578,-95.37311553955078
,,2560,,,471.913626909256,,,,,,,
,0.0001,2560,,,,,,,,,,
80,,2591,,,,,,,,,-92.1050033569336,-95.45704650878906
,,2592,,,459.0124046802521,,,,,,,
,0.0001,2592,,,,,,,,,,
,,2599,,,,,7433.570861816406,,,,,
,,2599,,,,38.09165954589844,,,,,,
81,,2599,,,,,,0.6885940432548523,-92.375,-96.76823425292969,,
81,,2623,,,,,,,,,-92.01300048828125,-95.41729736328125
,,2624,,,461.70696663856506,,,,,,,
,0.0001,2624,,,,,,,,,,
,,2649,,,,,8096.697092056274,,,,,
,,2649,,,,27.121305465698242,,,,,,
82,,2649,,,,,,0.6917799115180969,-92.5,-96.51432800292969,,
82,,2655,,,,,,,,,-92.04000091552734,-95.364990234375
,,2656,,,459.04535126686096,,,,,,,
,0.0001,2656,,,,,,,,,,
83,,2687,,,,,,,,,-92.09300231933594,-95.42937469482422
,,2688,,,466.7094900608063,,,,,,,
,0.0001,2688,,,,,,,,,,
,,2699,,,,,8340.216398239136,,,,,
,,2699,,,,40.474891662597656,,,,,,
84,,2699,,,,,,0.6882267594337463,-92.21875,-96.16796875,,
84,,2719,,,,,,,,,-92.20700073242188,-95.47767639160156
,,2720,,,480.7800304889679,,,,,,,
,0.0001,2720,,,,,,,,,,
,,2749,,,,,7627.423286437988,,,,,
,,2749,,,,24.790525436401367,,,,,,
85,,2749,,,,,,0.6877122521400452,-92.0625,-96.20573425292969,,
85,,2751,,,,,,,,,-91.96800231933594,-95.3084716796875
,,2752,,,460.544882774353,,,,,,,
,0.0001,2752,,,,,,,,,,
86,,2783,,,,,,,,,-92.052001953125,-95.31871032714844
,,2784,,,461.582967042923,,,,,,,
,0.0001,2784,,,,,,,,,,
,,2799,,,,,8557.520627975464,,,,,
,,2799,,,,39.51263427734375,,,,,,
87,,2799,,,,,,0.6870002150535583,-92.15625,-96.0625,,
87,,2815,,,,,,,,,-92.06600189208984,-95.3301010131836
,,2816,,,462.6884319782257,,,,,,,
,0.0001,2816,,,,,,,,,,
88,,2847,,,,,,,,,-91.91799926757812,-95.26378631591797
,,2848,,,470.86184453964233,,,,,,,
,0.0001,2848,,,,,,,,,,
,,2849,,,,,8156.054735183716,,,,,
,,2849,,,,25.22563934326172,,,,,,
89,,2849,,,,,,0.6894552111625671,-91.71875,-95.57161712646484,,
89,,2879,,,,,,,,,-91.86699676513672,-95.21202087402344
,,2880,,,453.5365991592407,,,,,,,
,0.0001,2880,,,,,,,,,,
,,2899,,,,,8505.268335342407,,,,,
,,2899,,,,39.809465408325195,,,,,,
90,,2899,,,,,,0.6877129673957825,-92.28125,-96.21614837646484,,
90,,2911,,,,,,,,,-91.927001953125,-95.32758331298828
,,2912,,,457.19312930107117,,,,,,,
,0.0001,2912,,,,,,,,,,
91,,2943,,,,,,,,,-91.95500183105469,-95.29740905761719
,,2944,,,459.64283514022827,,,,,,,
,0.0001,2944,,,,,,,,,,
,,2949,,,,,8039.4287109375,,,,,
,,2949,,,,25.435924530029297,,,,,,
92,,2949,,,,,,0.6908189058303833,-91.84375,-96.06640625,,
92,,2975,,,,,,,,,-92.0459976196289,-95.36084747314453
,,2976,,,470.13659143447876,,,,,,,
,0.0001,2976,,,,,,,,,,
,,2999,,,,,10150.71153640747,,,,,
,,2999,,,,39.5817756652832,,,,,,
93,,2999,,,,,,0.6892674565315247,-91.90625,-96.0234375,,
93,,3007,,,,,,,,,-91.93800354003906,-95.25446319580078
,,3008,,,552.8188967704773,,,,,,,
,0.0001,3008,,,,,,,,,,
94,,3039,,,,,,,,,-92.0009994506836,-95.32463836669922
,,3040,,,468.92209458351135,,,,,,,
,0.0001,3040,,,,,,,,,,
,,3049,,,,,8162.406921386719,,,,,
,,3049,,,,25.676965713500977,,,,,,
95,,3049,,,,,,0.6891711354255676,-91.9375,-95.99870300292969,,
95,,3071,,,,,,,,,-91.95600128173828,-95.29512786865234
,,3072,,,464.0377149581909,,,,,,,
,0.0001,3072,,,,,,,,,,
,,3099,,,,,9844.657897949219,,,,,
,,3099,,,,40.50707817077637,,,,,,
96,,3099,,,,,,0.6849765181541443,-92.5625,-96.38802337646484,,
96,,3103,,,,,,,,,-91.96700286865234,-95.27549743652344
,,3104,,,522.8910732269287,,,,,,,
,0.0001,3104,,,,,,,,,,
97,,3135,,,,,,,,,-92.08200073242188,-95.52574920654297
,,3136,,,472.2743504047394,,,,,,,
,0.0001,3136,,,,,,,,,,
,,3149,,,,,9844.130277633667,,,,,
,,3149,,,,25.80571174621582,,,,,,
98,,3149,,,,,,0.6888100504875183,-92.375,-96.48567962646484,,
98,,3167,,,,,,,,,-91.96199798583984,-95.3155746459961
,,3168,,,518.0771803855896,,,,,,,
,0.0001,3168,,,,,,,,,,
,,3199,,,,,8172.021865844727,,,,,
,,3199,,,,40.971994400024414,,,,,,
99,,3199,,,,,,0.6873398423194885,-92.375,-96.09896087646484,,
99,,3199,,,,,,,,,-92.03500366210938,-95.37167358398438
,,3200,,,482.414724111557,,,,,,,
,0.0001,3200,,,,,,,,,,
100,,3231,,,,,,,,,-92.05599975585938,-95.37799835205078
,,3232,,,537.1461651325226,,,,,,,
,1e-05,3232,,,,,,,,,,
,,3249,,,,,10401.905536651611,,,,,
,,3249,,,,27.74667739868164,,,,,,
101,,3249,,,,,,0.6879648566246033,-91.34375,-95.48046875,,
101,,3263,,,,,,,,,-92.0,-95.35900115966797
,,3264,,,527.6888399124146,,,,,,,
,1e-05,3264,,,,,,,,,,
102,,3295,,,,,,,,,-91.86399841308594,-95.22662353515625
,,3296,,,471.2204451560974,,,,,,,
,1e-05,3296,,,,,,,,,,
