subset,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
seed2,scratch,mid_s035,fisher_two_point,0.7862446117977852,0.008470703887939912,0.05618800043106074,0.046875,0.125,0.005707127336025065,0.9990114003656074,0.9,0.97
seed2,warm,mid_s035,one_point,0.8302643348594985,0.001703379058838106,0.04486842615127571,0.0,0.0,0.0008879044175148349,0.9990114003656074,0.9,0.97
seed2,warm,mid_s035,euclidean_two_point,0.8350307201359354,0.001703379058838106,0.04487054809570321,0.0,0.0,0.0008884759879112619,0.9990114003656074,0.9,0.97
seed2,warm,mid_s035,fisher_two_point,0.8347578768315942,0.001703379058838106,0.053125686588287445,0.0,0.0,0.000908101931572009,0.9990114003656074,0.9,0.97
seed2,scratch,best_s015,one_point,0.6128694430877772,0.00952186965942392,0.060079333553314164,0.123125,0.25,0.006939555252075014,0.9976540632073085,0.9,0.8800000000000001
seed2,scratch,best_s015,euclidean_two_point,0.6160946961900182,0.00952186965942392,0.06027239784240719,0.123125,0.25,0.007053344047546222,0.9976540632073085,0.9,0.8800000000000001
seed2,scratch,best_s015,fisher_two_point,0.6134034471714315,0.00952186965942392,0.060283144531249964,0.123125,0.25,0.006939555252075014,0.9976540632073085,0.9,0.8800000000000001
seed2,warm,best_s015,one_point,0.624301389185143,0.0020426319122317516,0.05790657564163224,0.0,0.0,0.0008827974128724003,0.9976540632073085,0.9,0.8800000000000001
seed2,warm,best_s015,euclidean_two_point,0.6302190505143397,0.0024456207275393993,0.05801115879058856,0.0,0.0,0.0009211432285309584,0.9976540632073085,0.9,0.8800000000000001
seed2,warm,best_s015,fisher_two_point,0.6248362187125687,0.002343277740478822,0.057962349376678636,0.0,0.0,0.0008827974128724003,0.9976540632073085,0.9,0.8800000000000001
seed2,scratch,best_s025,one_point,0.631863676583558,0.009089950180053652,0.053534214477539074,0.163125,0.25,0.0074542575302122315,0.9978446966136453,0.925,0.875
seed2,scratch,best_s025,euclidean_two_point,0.6433021350155839,0.008658030700683383,0.053139366035461474,0.163125,0.25,0.0074542575302122315,0.9978446966136453,0.925,0.875
seed2,scratch,best_s025,fisher_two_point,0.6313436976210209,0.009089950180053652,0.05338310941696169,0.163125,0.25,0.0074542575302122315,0.9978446966136453,0.925,0.875
seed2,warm,best_s025,one_point,0.6502861122688046,0.00170750732421876,0.055206889896392976,0.0,0.0,0.0008792970848084325,0.9978446966136453,0.925,0.875
