probe,seed_index,condition,raw_ess,ess,uniform_mixture,max_over_uniform
9,2,mid_s010,0.3509455566491228,0.4,0.09941452148814574,3.7238978780476772
9,2,mid_s020,0.6860109529457838,0.6860109529457842,0.0,2.0377592770705366
9,2,mid_s035,0.9278179896954416,0.9278179896954416,0.0,1.3528046629205133
9,2,best_s015,0.2673829319918854,0.4,0.2600984212688477,4.131554128422081
9,2,best_s025,0.44279296503611687,0.44279296503611687,0.0,3.1728180102351025
9,2,best_s040,0.6896536325890469,0.6896536325890469,0.0,2.018709790552626
9,2,tails_s010,0.3593226393320702,0.39999999999999986,0.08279116132329485,3.6357131580059674
9,2,tails_s020,0.7075676056518185,0.7075676056518182,0.0,1.9750735343081158
9,2,tails_s035,0.9852023822484568,0.9852023822484568,0.0,1.1636666708446626
10,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
10,2,mid_s010,0.35094555664912297,0.40000000000000013,0.09941452148814618,3.7238978780476764
10,2,mid_s020,0.686010952945784,0.6860109529457838,0.0,2.0377592770705366
10,2,mid_s035,0.9278179896954422,0.9278179896954416,0.0,1.3528046629205135
10,2,best_s015,0.26738293199188534,0.4,0.2600984212688477,4.131554128422082
10,2,best_s025,0.4427929650361166,0.44279296503611687,0.0,3.172818010235102
10,2,best_s040,0.6896536325890466,0.6896536325890469,0.0,2.0187097905526254
10,2,tails_s010,0.3593226393320701,0.4,0.08279116132329485,3.6357131580059674
10,2,tails_s020,0.7075676056518181,0.7075676056518181,0.0,1.9750735343081158
10,2,tails_s035,0.9852023822484565,0.9852023822484565,0.0,1.1636666708446626
11,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
11,2,mid_s010,0.3509455566491229,0.4000000000000001,0.09941452148814618,3.7238978780476764
11,2,mid_s020,0.6860109529457842,0.6860109529457842,0.0,2.0377592770705366
11,2,mid_s035,0.9278179896954408,0.9278179896954417,0.0,1.3528046629205133
11,2,best_s015,0.26738293199188534,0.4,0.26009842126884786,4.131554128422082
11,2,best_s025,0.4427929650361166,0.4427929650361168,0.0,3.172818010235102
11,2,best_s040,0.689653632589047,0.6896536325890469,0.0,2.018709790552626
11,2,tails_s010,0.3593226393320703,0.4,0.08279116132329517,3.635713158005967
11,2,tails_s020,0.707567605651818,0.7075676056518181,0.0,1.9750735343081163
11,2,tails_s035,0.9852023822484568,0.9852023822484565,0.0,1.1636666708446628
12,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
12,2,mid_s010,0.3509455566491229,0.39999999999999963,0.09941452148814561,3.7238978780476786
12,2,mid_s020,0.6860109529457842,0.6860109529457842,0.0,2.0377592770705366
12,2,mid_s035,0.9278179896954413,0.9278179896954416,0.0,1.3528046629205133
12,2,best_s015,0.2673829319918855,0.4,0.26009842126884786,4.131554128422081
12,2,best_s025,0.4427929650361168,0.4427929650361168,0.0,3.1728180102351025
12,2,best_s040,0.6896536325890473,0.6896536325890468,0.0,2.018709790552626
12,2,tails_s010,0.3593226393320701,0.39999999999999986,0.0827911613232945,3.6357131580059683
12,2,tails_s020,0.707567605651818,0.7075676056518183,0.0,1.9750735343081158
12,2,tails_s035,0.9852023822484565,0.9852023822484565,0.0,1.1636666708446626
13,2,uniform,1.0,0.9999999999999999,0.0,1.0000000000000002
