epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
89,1799,,,,,,-0.4950511157512665,-50.89999771118164,-54.975833892822266,,
89,1799,,,,,,,,,-51.97700119018555,-55.16166687011719
,1800,,,233.67072057724,,,,,,,
90,1819,,,,,,,,,-51.944000244140625,-55.131412506103516
,1820,,,179.10651183128357,,,,,,,
91,1839,,,,,,,,,-51.95000076293945,-55.10533142089844
,1840,,,179.67119359970093,,,,,,,
,1849,,,,,4771.907329559326,,,,,
,1849,,,,11.595726013183594,,,,,,
92,1849,,,,,,-2.0812532901763916,-51.36000061035156,-55.49500274658203,,
92,1859,,,,,,,,,-52.02799987792969,-55.212379455566406
,1860,,,178.9755802154541,,,,,,,
93,1879,,,,,,,,,-52.00899887084961,-55.12971115112305
,1880,,,175.28285598754883,,,,,,,
,1899,,,,,4729.09140586853,,,,,
,1899,,,,25.315284729003906,,,,,,
94,1899,,,,,,-0.07632080465555191,-51.05999755859375,-55.2216682434082,,
94,1899,,,,,,,,,-52.02899932861328,-55.15224838256836
,1900,,,177.20684814453125,,,,,,,
95,1919,,,,,,,,,-51.91899871826172,-55.06150436401367
,1920,,,177.67227029800415,,,,,,,
96,1939,,,,,,,,,-51.97999954223633,-55.087039947509766
,1940,,,179.7932243347168,,,,,,,
,1949,,,,,4917.091846466064,,,,,
,1949,,,,11.750936508178711,,,,,,
97,1949,,,,,,-1.7776042222976685,-51.2599983215332,-55.09166717529297,,
97,1959,,,,,,,,,-51.97999954223633,-55.12533187866211
,1960,,,180.70943427085876,,,,,,,
98,1979,,,,,,,,,-51.95600128173828,-55.156837463378906
,1980,,,181.2659833431244,,,,,,,
,1999,,,,,5150.773048400879,,,,,
,1999,,,,25.944948196411133,,,,,,
99,1999,,,,,,-1.6040910482406616,-51.71999740600586,-55.714168548583984,,
99,1999,,,,,,,,,-52.00199890136719,-55.151248931884766
,2000,,,182.76122546195984,,,,,,,
100,2019,,,,,,,,,-52.00299835205078,-55.13862991333008
,2020,,,180.05048775672913,,,,,,,
101,2039,,,,,,,,,-51.96799850463867,-55.12804412841797
,2040,,,182.33303999900818,,,,,,,
,2049,,,,,4778.990983963013,,,,,
,2049,,,,11.854171752929688,,,,,,
102,2049,,,,,,-0.8128031492233276,-51.86000061035156,-55.80833435058594,,
102,2059,,,,,,,,,-52.00299835205078,-55.13071060180664
,2060,,,179.11092281341553,,,,,,,
103,2079,,,,,,,,,-51.92399978637695,-55.11591339111328
,2080,,,179.88073134422302,,,,,,,
,2099,,,,,4856.5354347229,,,,,
,2099,,,,25.50482749938965,,,,,,
104,2099,,,,,,-1.5977612733840942,-51.15999984741211,-55.0716667175293,,
104,2099,,,,,,,,,-51.94300079345703,-55.113914489746094
,2100,,,180.478928565979,,,,,,,
105,2119,,,,,,,,,-51.96799850463867,-55.128841400146484
,2120,,,177.09256887435913,,,,,,,
106,2139,,,,,,,,,-51.972999572753906,-55.15087890625
,2140,,,233.9735927581787,,,,,,,
,2149,,,,,4801.921844482422,,,,,
,2149,,,,11.593341827392578,,,,,,
