epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
99,1999,,,,,,-0.16083203256130219,-51.619998931884766,-0.16083203256130219,0.4203472435474396,-55.600833892822266,,
99,1999,,,,,,,,,,,-51.89699935913086,-55.128746032714844
,2000,,,195.36685729026794,,,,,,,,,
100,2019,,,,,,,,,,,-51.93899917602539,-55.12054443359375
,2020,,,205.72291469573975,,,,,,,,,
101,2039,,,,,,,,,,,-51.882999420166016,-55.075252532958984
,2040,,,194.87856078147888,,,,,,,,,
,2049,,,,,5417.016983032227,,,,,,,
,2049,,,,25.133132934570312,,,,,,,,
102,2049,,,,,,-0.5767452120780945,-51.959999084472656,-0.5767452120780945,0.4217014014720917,-55.86750030517578,,
102,2059,,,,,,,,,,,-51.944000244140625,-55.13058090209961
,2060,,,196.89793133735657,,,,,,,,,
103,2079,,,,,,,,,,,-51.90299987792969,-55.11670684814453
,2080,,,239.25873708724976,,,,,,,,,
,2099,,,,,5086.346864700317,,,,,,,
,2099,,,,246.37579917907715,,,,,,,,
104,2099,,,,,,-0.30920255184173584,-51.19999694824219,-0.30920255184173584,0.41767361760139465,-54.935001373291016,,
104,2099,,,,,,,,,,,-51.867000579833984,-55.06624984741211
,2100,,,194.70713925361633,,,,,,,,,
105,2119,,,,,,,,,,,-51.875,-55.10930252075195
,2120,,,196.50898241996765,,,,,,,,,
106,2139,,,,,,,,,,,-51.94200134277344,-55.13462829589844
,2140,,,214.53137016296387,,,,,,,,,
,2149,,,,,5330.8563232421875,,,,,,,
,2149,,,,23.37789535522461,,,,,,,,
107,2149,,,,,,-0.9062699675559998,-51.0,-0.9062699675559998,0.425555557012558,-55.18916702270508,,
107,2159,,,,,,,,,,,-51.827999114990234,-55.07350158691406
,2160,,,192.43582105636597,,,,,,,,,
108,2179,,,,,,,,,,,-51.904998779296875,-55.14425277709961
,2180,,,194.45959782600403,,,,,,,,,
,2199,,,,,5310.202836990356,,,,,,,
,2199,,,,34.11555290222168,,,,,,,,
109,2199,,,,,,-0.8536636829376221,-51.5,-0.8536636829376221,0.41836807131767273,-55.165000915527344,,
109,2199,,,,,,,,,,,-51.85599899291992,-55.07624816894531
,2200,,,192.82143092155457,,,,,,,,,
110,2219,,,,,,,,,,,-51.87799835205078,-55.08779525756836
,2220,,,205.52305150032043,,,,,,,,,
111,2239,,,,,,,,,,,-51.861000061035156,-55.055213928222656
,2240,,,217.95824217796326,,,,,,,,,
,2249,,,,,5514.292240142822,,,,,,,
,2249,,,,19.7904109954834,,,,,,,,
112,2249,,,,,,-0.6814788579940796,-51.05999755859375,-0.6814788579940796,0.4225347340106964,-55.25833511352539,,
112,2259,,,,,,,,,,,-51.83100128173828,-55.029788970947266
,2260,,,191.97114992141724,,,,,,,,,
113,2279,,,,,,,,,,,-51.86899948120117,-55.053287506103516
,2280,,,196.32678055763245,,,,,,,,,
,2299,,,,,5555.641889572144,,,,,,,
,2299,,,,41.49317741394043,,,,,,,,
114,2299,,,,,,-0.19711460173130035,-51.459999084472656,-0.19711460173130035,0.42576390504837036,-55.461666107177734,,
114,2299,,,,,,,,,,,-51.91899871826172,-55.097293853759766
,2300,,,204.9405746459961,,,,,,,,,
115,2319,,,,,,,,,,,-51.89099884033203,-55.04921340942383
,2320,,,208.0398349761963,,,,,,,,,
116,2339,,,,,,,,,,,-51.861000061035156,-55.1029167175293
,2340,,,194.26619601249695,,,,,,,,,
,2349,,,,,5084.544658660889,,,,,,,
,2349,,,,14.80722427368164,,,,,,,,
117,2349,,,,,,-0.3075328767299652,-50.89999771118164,-0.3075328767299652,0.4236111342906952,-54.84749984741211,,
117,2359,,,,,,,,,,,-51.874000549316406,-55.04678726196289
,2360,,,196.18491172790527,,,,,,,,,
118,2379,,,,,,,,,,,-51.827999114990234,-55.02383041381836
,2380,,,214.1279592514038,,,,,,,,,
,2399,,,,,5215.256214141846,,,,,,,
,2399,,,,34.40451622009277,,,,,,,,
119,2399,,,,,,-0.2623175382614136,-50.97999954223633,-0.2623175382614136,0.4221527874469757,-55.02583312988281,,
119,2399,,,,,,,,,,,-51.88399887084961,-55.07499694824219
,2400,,,199.38338327407837,,,,,,,,,
120,2419,,,,,,,,,,,-51.882999420166016,-55.059959411621094
,2420,,,199.7540249824524,,,,,,,,,
121,2439,,,,,,,,,,,-51.87799835205078,-55.05366897583008
,2440,,,192.69081926345825,,,,,,,,,
,2449,,,,,5041.352987289429,,,,,,,
,2449,,,,19.293785095214844,,,,,,,,
122,2449,,,,,,-0.29527121782302856,-51.87999725341797,-0.29527121782302856,0.4219791889190674,-55.817501068115234,,
122,2459,,,,,,,,,,,-51.8380012512207,-55.0507926940918
,2460,,,194.68659210205078,,,,,,,,,
123,2479,,,,,,,,,,,-51.84400177001953,-55.013912200927734
,2480,,,194.7776482105255,,,,,,,,,
,2499,,,,,5213.869094848633,,,,,,,
,2499,,,,43.88761520385742,,,,,,,,
124,2499,,,,,,-0.6400274038314819,-50.959999084472656,-0.6400274038314819,0.4212847352027893,-54.981666564941406,,
124,2499,,,,,,,,,,,-51.91699981689453,-55.11408615112305
,2500,,,193.52311182022095,,,,,,,,,
125,2519,,,,,,,,,,,-51.81700134277344,-55.09907913208008
,2520,,,227.25831770896912,,,,,,,,,
126,2539,,,,,,,,,,,-51.84600067138672,-55.03838348388672
,2540,,,196.2836332321167,,,,,,,,,
,2549,,,,,5389.559984207153,,,,,,,
,2549,,,,18.40066909790039,,,,,,,,
127,2549,,,,,,-0.5151461958885193,-50.89999771118164,-0.5151461958885193,0.4221527874469757,-55.065834045410156,,
127,2559,,,,,,,,,,,-51.84600067138672,-55.05141067504883
,2560,,,191.1220293045044,,,,,,,,,
128,2579,,,,,,,,,,,-51.81100082397461,-55.080711364746094
,2580,,,210.3849573135376,,,,,,,,,
,2599,,,,,6795.193433761597,,,,,,,
,2599,,,,32.85026550292969,,,,,,,,
129,2599,,,,,,-0.37808939814567566,-51.37999725341797,-0.37808939814567566,0.42145833373069763,-55.37333297729492,,
129,2599,,,,,,,,,,,-51.935001373291016,-55.10462951660156
,2600,,,251.03611183166504,,,,,,,,,
130,2619,,,,,,,,,,,-51.87900161743164,-55.073455810546875
,2620,,,191.50460648536682,,,,,,,,,
131,2639,,,,,,,,,,,-51.84700012207031,-55.002418518066406
,2640,,,191.9353485107422,,,,,,,,,
,2649,,,,,5401.561498641968,,,,,,,
,2649,,,,14.814615249633789,,,,,,,,
132,2649,,,,,,-0.3795035779476166,-51.03999710083008,-0.3795035779476166,0.42232638597488403,-55.0525016784668,,
132,2659,,,,,,,,,,,-51.856998443603516,-55.079750061035156
,2660,,,195.1470227241516,,,,,,,,,
133,2679,,,,,,,,,,,-51.87699890136719,-55.041412353515625
,2680,,,191.01659297943115,,,,,,,,,
,2699,,,,,5093.972682952881,,,,,,,
,2699,,,,34.05308723449707,,,,,,,,
134,2699,,,,,,-0.4095253050327301,-51.5,-0.4095253050327301,0.41940972208976746,-55.32416915893555,,
134,2699,,,,,,,,,,,-51.81700134277344,-55.0162467956543
,2700,,,192.98276090621948,,,,,,,,,
135,2719,,,,,,,,,,,-51.84400177001953,-55.03566360473633
,2720,,,194.21331143379211,,,,,,,,,
136,2739,,,,,,,,,,,-51.84000015258789,-55.04645919799805
,2740,,,194.45104932785034,,,,,,,,,
,2749,,,,,4860.655784606934,,,,,,,
,2749,,,,17.594575881958008,,,,,,,,
137,2749,,,,,,-0.7580836415290833,-51.18000030517578,-0.7580836415290833,0.41555556654930115,-55.19166946411133,,
137,2759,,,,,,,,,,,-51.89799880981445,-55.086326599121094
,2760,,,191.28829097747803,,,,,,,,,
138,2779,,,,,,,,,,,-51.845001220703125,-55.083919525146484
,2780,,,191.13603472709656,,,,,,,,,
,2799,,,,,5071.247100830078,,,,,,,
,2799,,,,43.88427734375,,,,,,,,
139,2799,,,,,,-0.8627511858940125,-51.599998474121094,-0.8627511858940125,0.4206944406032562,-55.464168548583984,,
139,2799,,,,,,,,,,,-51.858001708984375,-55.047210693359375
,2800,,,191.41627764701843,,,,,,,,,
140,2819,,,,,,,,,,,-51.85499954223633,-55.06645965576172
,2820,,,191.5450460910797,,,,,,,,,
141,2839,,,,,,,,,,,-51.8390007019043,-55.03815841674805
,2840,,,192.04092073440552,,,,,,,,,
