epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
18,,599,,,,0.6879379749298096,-93.0625,-97.14192962646484,,
18,,607,,,,,,,-92.48300170898438,-95.87142181396484
,,608,563.0199131965637,,,,,,,
,0.0001,608,,,,,,,,
,,609,,,9883.31127166748,,,,,
,,609,,26.656627655029297,,,,,,
19,,609,,,,0.687412679195404,-93.59375,-97.4140625,,
,,619,,,7935.380458831787,,,,,
,,619,,27.514934539794922,,,,,,
19,,619,,,,0.6891233921051025,-93.5,-97.55859375,,
,,629,,,8231.943607330322,,,,,
,,629,,27.657747268676758,,,,,,
19,,629,,,,0.6878950595855713,-93.03125,-96.9453125,,
,,639,,,7813.467025756836,,,,,
,,639,,29.975175857543945,,,,,,
19,,639,,,,0.6967635750770569,-92.5,-96.828125,,
19,,639,,,,,,,-92.78900146484375,-96.10504150390625
,,640,486.1264989376068,,,,,,,
,0.0001,640,,,,,,,,
,,649,,,10752.279996871948,,,,,
,,649,,27.679443359375,,,,,,
20,,649,,,,0.6910894513130188,-93.34375,-97.6640625,,
,,659,,,10512.38203048706,,,,,
,,659,,27.435779571533203,,,,,,
20,,659,,,,0.6867083311080933,-93.15625,-97.47396087646484,,
,,669,,,10193.766355514526,,,,,
,,669,,30.24125099182129,,,,,,
20,,669,,,,0.6864071488380432,-92.78125,-96.95442962646484,,
20,,671,,,,,,,-92.63300323486328,-95.91792297363281
,,672,600.1014103889465,,,,,,,
,0.0001,672,,,,,,,,
,,679,,,8144.04296875,,,,,
,,679,,27.974605560302734,,,,,,
21,,679,,,,0.6897209882736206,-92.96875,-96.98958587646484,,
,,689,,,8003.623723983765,,,,,
,,689,,30.538320541381836,,,,,,
21,,689,,,,0.6883540749549866,-93.875,-97.8984375,,
,,699,,,7597.958087921143,,,,,
,,699,,44.44313049316406,,,,,,
21,,699,,,,0.687950849533081,-92.78125,-96.82292175292969,,
21,,703,,,,,,,-92.51399993896484,-95.86273956298828
,,704,465.38479375839233,,,,,,,
,0.0001,704,,,,,,,,
,,709,,,8296.971321105957,,,,,
,,709,,26.95941925048828,,,,,,
22,,709,,,,0.6886852383613586,-93.96875,-98.2890625,,
,,719,,,7837.221145629883,,,,,
,,719,,27.35424041748047,,,,,,
22,,719,,,,0.6862592697143555,-93.40625,-97.375,,
,,729,,,7891.696929931641,,,,,
,,729,,30.620574951171875,,,,,,
22,,729,,,,0.6881897449493408,-92.78125,-97.02083587646484,,
22,,735,,,,,,,-92.45700073242188,-95.83575439453125
,,736,476.75001335144043,,,,,,,
,0.0001,736,,,,,,,,
,,739,,,7713.335990905762,,,,,
,,739,,26.601076126098633,,,,,,
23,,739,,,,0.6884220242500305,-92.34375,-96.72265625,,
,,749,,,7475.140333175659,,,,,
,,749,,25.29168128967285,,,,,,
23,,749,,,,0.69095379114151,-94.03125,-98.11328125,,
,,759,,,7856.735706329346,,,,,
,,759,,26.46923065185547,,,,,,
23,,759,,,,0.6895681619644165,-92.46875,-96.50130462646484,,
23,,767,,,,,,,-92.51000213623047,-95.74608612060547
,,768,465.2816035747528,,,,,,,
,0.0001,768,,,,,,,,
,,769,,,8439.89634513855,,,,,
,,769,,27.164697647094727,,,,,,
24,,769,,,,0.6906195878982544,-93.5625,-98.01171875,,
,,779,,,7761.8255615234375,,,,,
,,779,,31.30936622619629,,,,,,
24,,779,,,,0.6896649599075317,-94.03125,-98.1953125,,
,,789,,,7742.50054359436,,,,,
,,789,,28.309345245361328,,,,,,
24,,789,,,,0.6886178851127625,-92.75,-96.74479675292969,,
,,799,,,8015.819787979126,,,,,
,,799,,45.47882080078125,,,,,,
24,,799,,,,0.6923312544822693,-93.25,-97.53125,,
24,,799,,,,,,,-92.5999984741211,-95.97838592529297
,,800,473.3775556087494,,,,,,,
,0.0001,800,,,,,,,,
,,809,,,10156.14366531372,,,,,
,,809,,26.517152786254883,,,,,,
25,,809,,,,0.6869516372680664,-93.34375,-97.52604675292969,,
,,819,,,10284.234762191772,,,,,
,,819,,25.469064712524414,,,,,,
25,,819,,,,0.6884603500366211,-92.84375,-96.83464050292969,,
,,829,,,8559.041261672974,,,,,
,,829,,26.514053344726562,,,,,,
25,,829,,,,0.6868960857391357,-93.40625,-97.68229675292969,,
25,,831,,,,,,,-92.33799743652344,-95.67217254638672
,,832,528.1273064613342,,,,,,,
,0.0001,832,,,,,,,,
,,839,,,7660.711765289307,,,,,
,,839,,26.56102180480957,,,,,,
26,,839,,,,0.689412534236908,-92.53125,-97.03125,,
,,849,,,7758.070230484009,,,,,
,,849,,26.515722274780273,,,,,,
26,,849,,,,0.6877768039703369,-92.875,-97.203125,,
,,859,,,7274.432420730591,,,,,
,,859,,30.153274536132812,,,,,,
26,,859,,,,0.6883999705314636,-93.5,-97.80339050292969,,
26,,863,,,,,,,-92.46800231933594,-95.75615692138672
,,864,479.8405022621155,,,,,,,
,0.0001,864,,,,,,,,
,,869,,,10112.816333770752,,,,,
,,869,,26.699542999267578,,,,,,
27,,869,,,,0.6854337453842163,-93.0625,-97.17839050292969,,
,,879,,,10238.48032951355,,,,,
,,879,,26.57294273376465,,,,,,
27,,879,,,,0.6875596642494202,-93.34375,-97.55989837646484,,
,,889,,,8507.905960083008,,,,,
,,889,,32.85074234008789,,,,,,
27,,889,,,,0.6861381530761719,-93.0625,-97.02864837646484,,
27,,895,,,,,,,-92.32599639892578,-95.67951202392578
,,896,494.0218970775604,,,,,,,
,0.0001,896,,,,,,,,
,,899,,,8052.769184112549,,,,,
,,899,,46.14138603210449,,,,,,
28,,899,,,,0.6895155906677246,-93.5,-97.41536712646484,,
,,909,,,7466.605424880981,,,,,
,,909,,27.292490005493164,,,,,,
28,,909,,,,0.6864730715751648,-93.21875,-97.09635925292969,,
,,919,,,7803.864479064941,,,,,
,,919,,26.453018188476562,,,,,,
28,,919,,,,0.6876259446144104,-92.84375,-96.77604675292969,,
28,,927,,,,,,,-92.35099792480469,-95.6761245727539
,,928,486.91116857528687,,,,,,,
,0.0001,928,,,,,,,,
,,929,,,10374.189853668213,,,,,
,,929,,28.998136520385742,,,,,,
29,,929,,,,0.6905019879341125,-92.90625,-97.03515625,,
,,939,,,10490.016222000122,,,,,
,,939,,30.11465072631836,,,,,,
29,,939,,,,0.690288782119751,-93.0,-97.109375,,
,,949,,,11224.777460098267,,,,,
,,949,,26.632070541381836,,,,,,
29,,949,,,,0.6911646127700806,-92.78125,-97.0625,,
,,959,,,8050.353288650513,,,,,
,,959,,36.606550216674805,,,,,,
29,,959,,,,0.6946966648101807,-93.375,-98.03125,,
29,,959,,,,,,,-92.37999725341797,-95.67992401123047
,,960,541.8749260902405,,,,,,,
,0.0001,960,,,,,,,,
,,969,,,7324.527025222778,,,,,
,,969,,26.410579681396484,,,,,,
30,,969,,,,0.6877022981643677,-92.8125,-97.03776550292969,,
,,979,,,8077.683210372925,,,,,
,,979,,28.72443199157715,,,,,,
30,,979,,,,0.689067006111145,-93.4375,-97.41927337646484,,
,,989,,,7957.230567932129,,,,,
,,989,,30.7009220123291,,,,,,
30,,989,,,,0.6923543810844421,-92.59375,-96.69661712646484,,
30,,991,,,,,,,-92.3550033569336,-95.69137573242188
,,992,532.9084174633026,,,,,,,
,0.0001,992,,,,,,,,
,,999,,,10104.802370071411,,,,,
,,999,,44.57974433898926,,,,,,
31,,999,,,,0.6906670928001404,-93.5,-97.83464050292969,,
,,1009,,,8704.484224319458,,,,,
,,1009,,31.071186065673828,,,,,,
31,,1009,,,,0.6927251815795898,-92.5,-96.796875,,
,,1019,,,8221.30274772644,,,,,
,,1019,,30.73883056640625,,,,,,
31,,1019,,,,0.6898033022880554,-93.0,-96.98958587646484,,
31,,1023,,,,,,,-92.28500366210938,-95.68058776855469
,,1024,517.7377066612244,,,,,,,
,0.0001,1024,,,,,,,,
,,1029,,,10058.717489242554,,,,,
,,1029,,32.21273422241211,,,,,,
32,,1029,,,,0.6889069676399231,-93.53125,-97.90364837646484,,
,,1039,,,7695.684909820557,,,,,
,,1039,,30.467987060546875,,,,,,
32,,1039,,,,0.6894704103469849,-92.59375,-96.60546875,,
,,1049,,,7980.722427368164,,,,,
,,1049,,34.15632247924805,,,,,,
32,,1049,,,,0.6895903944969177,-93.59375,-97.75260925292969,,
32,,1055,,,,,,,-92.19300079345703,-95.5343246459961
,,1056,486.06015849113464,,,,,,,
,0.0001,1056,,,,,,,,
,,1059,,,7820.916414260864,,,,,
,,1059,,31.130313873291016,,,,,,
33,,1059,,,,0.6909246444702148,-92.96875,-97.06640625,,
,,1069,,,8125.74028968811,,,,,
,,1069,,26.67403221130371,,,,,,
33,,1069,,,,0.6877589225769043,-93.15625,-97.23958587646484,,
,,1079,,,7749.2125034332275,,,,,
,,1079,,26.237010955810547,,,,,,
33,,1079,,,,0.68984055519104,-92.84375,-97.09375,,
33,,1087,,,,,,,-92.45999908447266,-95.85358428955078
,,1088,473.0638449192047,,,,,,,
,0.0001,1088,,,,,,,,
,,1089,,,8071.472406387329,,,,,
,,1089,,26.78847312927246,,,,,,
34,,1089,,,,0.6908445954322815,-92.09375,-95.93099212646484,,
,,1099,,,8647.835731506348,,,,,
,,1099,,54.544687271118164,,,,,,
34,,1099,,,,0.6869918704032898,-92.375,-96.61589050292969,,
,,1109,,,8594.02060508728,,,,,
,,1109,,33.71596336364746,,,,,,
34,,1109,,,,0.6888994574546814,-92.625,-96.92448425292969,,
,,1119,,,8240.262985229492,,,,,
,,1119,,28.09882164001465,,,,,,
34,,1119,,,,0.6943236589431763,-94.125,-97.99479675292969,,
34,,1119,,,,,,,-92.40299987792969,-95.66820526123047
,,1120,514.2496328353882,,,,,,,
,0.0001,1120,,,,,,,,
,,1129,,,8015.20299911499,,,,,
,,1129,,30.517101287841797,,,,,,
35,,1129,,,,0.6857037544250488,-93.125,-97.171875,,
,,1139,,,8003.0553340911865,,,,,
,,1139,,28.93352508544922,,,,,,
35,,1139,,,,0.6892490386962891,-93.375,-97.62109375,,
,,1149,,,7879.246711730957,,,,,
,,1149,,35.76827049255371,,,,,,
35,,1149,,,,0.6894038319587708,-92.375,-96.74349212646484,,
35,,1151,,,,,,,-92.38099670410156,-95.66850280761719
,,1152,479.2308142185211,,,,,,,
,0.0001,1152,,,,,,,,
,,1159,,,8281.472206115723,,,,,
,,1159,,30.972957611083984,,,,,,
36,,1159,,,,0.6890512108802795,-91.78125,-95.94271087646484,,
,,1169,,,8462.841033935547,,,,,
,,1169,,37.72616386413574,,,,,,
36,,1169,,,,0.6890107989311218,-92.625,-96.68359375,,
,,1179,,,8432.242393493652,,,,,
,,1179,,25.908470153808594,,,,,,
36,,1179,,,,0.6903095245361328,-93.21875,-97.25390625,,
36,,1183,,,,,,,-92.23699951171875,-95.5671615600586
,,1184,472.3228476047516,,,,,,,
,0.0001,1184,,,,,,,,
,,1189,,,10266.762018203735,,,,,
,,1189,,26.806116104125977,,,,,,
37,,1189,,,,0.6895484328269958,-93.28125,-97.55599212646484,,
,,1199,,,8185.876131057739,,,,,
,,1199,,81.89511299133301,,,,,,
37,,1199,,,,0.6880936026573181,-92.71875,-96.79296875,,
,,1209,,,8352.375984191895,,,,,
,,1209,,33.647775650024414,,,,,,
37,,1209,,,,0.6904953718185425,-92.90625,-96.69661712646484,,
37,,1215,,,,,,,-92.41899871826172,-95.74112701416016
,,1216,510.96479773521423,,,,,,,
,0.0001,1216,,,,,,,,
,,1219,,,8207.682847976685,,,,,
,,1219,,27.45223045349121,,,,,,
38,,1219,,,,0.6869475841522217,-93.40625,-97.33073425292969,,
,,1229,,,7758.552074432373,,,,,
,,1229,,27.243852615356445,,,,,,
38,,1229,,,,0.6914374232292175,-92.34375,-96.1875,,
,,1239,,,8089.743852615356,,,,,
,,1239,,30.85160255432129,,,,,,
38,,1239,,,,0.6890376806259155,-91.78125,-95.81120300292969,,
38,,1247,,,,,,,-92.375,-95.6685791015625
,,1248,477.7283070087433,,,,,,,
,0.0001,1248,,,,,,,,
,,1249,,,7942.73567199707,,,,,
,,1249,,29.35314178466797,,,,,,
39,,1249,,,,0.6914685964584351,-92.84375,-97.16146087646484,,
,,1259,,,7597.09358215332,,,,,
,,1259,,36.576271057128906,,,,,,
39,,1259,,,,0.6895623803138733,-92.59375,-96.84635925292969,,
,,1269,,,8189.261674880981,,,,,
,,1269,,34.72566604614258,,,,,,
39,,1269,,,,0.6858155131340027,-93.15625,-97.20442962646484,,
,,1279,,,8133.426904678345,,,,,
,,1279,,30.548572540283203,,,,,,
39,,1279,,,,0.6887369751930237,-92.0,-96.27604675292969,,
39,,1279,,,,,,,-92.38200378417969,-95.77826690673828
,,1280,483.65398120880127,,,,,,,
,0.0001,1280,,,,,,,,
,,1289,,,8064.039707183838,,,,,
,,1289,,32.663822174072266,,,,,,
40,,1289,,,,0.6915562748908997,-93.4375,-97.71875,,
,,1299,,,8715.975284576416,,,,,
,,1299,,52.680253982543945,,,,,,
40,,1299,,,,0.6900927424430847,-92.71875,-96.96354675292969,,
,,1309,,,7828.873634338379,,,,,
,,1309,,38.83004188537598,,,,,,
40,,1309,,,,0.6906340718269348,-92.65625,-96.74349212646484,,
40,,1311,,,,,,,-92.31199645996094,-95.60991668701172
,,1312,475.02808952331543,,,,,,,
,0.0001,1312,,,,,,,,
,,1319,,,8040.275573730469,,,,,
,,1319,,31.555652618408203,,,,,,
41,,1319,,,,0.6880888938903809,-92.5,-96.78255462646484,,
,,1329,,,8694.346904754639,,,,,
,,1329,,33.77509117126465,,,,,,
41,,1329,,,,0.6884399056434631,-92.78125,-97.109375,,
,,1339,,,7631.727695465088,,,,,
,,1339,,28.423070907592773,,,,,,
41,,1339,,,,0.6884823441505432,-93.25,-97.21484375,,
41,,1343,,,,,,,-92.35299682617188,-95.71966552734375
,,1344,487.6596112251282,,,,,,,
,0.0001,1344,,,,,,,,
,,1349,,,8837.761402130127,,,,,
,,1349,,28.97930145263672,,,,,,
42,,1349,,,,0.6889860033988953,-92.3125,-96.390625,,
,,1359,,,10430.765390396118,,,,,
,,1359,,29.897451400756836,,,,,,
42,,1359,,,,0.6891263127326965,-92.75,-97.05078125,,
,,1369,,,8078.009605407715,,,,,
,,1369,,48.50316047668457,,,,,,
42,,1369,,,,0.6888850331306458,-92.65625,-96.81640625,,
42,,1375,,,,,,,-92.35900115966797,-95.59774780273438
,,1376,495.8501355648041,,,,,,,
,0.0001,1376,,,,,,,,
,,1379,,,8549.81780052185,,,,,
,,1379,,30.04741668701172,,,,,,
43,,1379,,,,0.6876842975616455,-93.21875,-96.95573425292969,,
,,1389,,,8041.954517364502,,,,,
,,1389,,32.08589553833008,,,,,,
43,,1389,,,,0.6862701177597046,-93.0625,-96.8671875,,
,,1399,,,8148.539066314697,,,,,
,,1399,,47.89447784423828,,,,,,
43,,1399,,,,0.6864303946495056,-93.0,-97.08073425292969,,
43,,1407,,,,,,,-92.31099700927734,-95.54612731933594
,,1408,498.5608208179474,,,,,,,
,0.0001,1408,,,,,,,,
,,1409,,,11263.843774795532,,,,,
,,1409,,30.098915100097656,,,,,,
44,,1409,,,,0.6894800662994385,-92.71875,-96.50390625,,
,,1419,,,10504.047155380249,,,,,
,,1419,,27.761220932006836,,,,,,
44,,1419,,,,0.6916370391845703,-93.3125,-97.32942962646484,,
,,1429,,,9627.212762832642,,,,,
,,1429,,28.781414031982422,,,,,,
44,,1429,,,,0.6894556283950806,-92.28125,-96.23958587646484,,
,,1439,,,9757.462501525879,,,,,
,,1439,,31.614065170288086,,,,,,
44,,1439,,,,0.689920961856842,-91.75,-96.015625,,
44,,1439,,,,,,,-92.39299774169922,-95.69585418701172
,,1440,583.1600654125214,,,,,,,
,0.0001,1440,,,,,,,,
,,1449,,,8092.3357009887695,,,,,
,,1449,,27.65941619873047,,,,,,
45,,1449,,,,0.6855676174163818,-93.1875,-97.19921875,,
,,1459,,,8232.125997543335,,,,,
,,1459,,27.277708053588867,,,,,,
45,,1459,,,,0.6937159895896912,-92.65625,-96.70703125,,
,,1469,,,10310.687065124512,,,,,
,,1469,,31.71372413635254,,,,,,
45,,1469,,,,0.6895720362663269,-93.09375,-96.98307800292969,,
45,,1471,,,,,,,-92.18599700927734,-95.54883575439453
,,1472,539.2990522384644,,,,,,,
,0.0001,1472,,,,,,,,
,,1479,,,8138.250112533569,,,,,
,,1479,,29.662132263183594,,,,,,
46,,1479,,,,0.687504768371582,-92.71875,-96.84896087646484,,
,,1489,,,7982.680320739746,,,,,
,,1489,,32.64164924621582,,,,,,
46,,1489,,,,0.6907004117965698,-92.15625,-96.3671875,,
,,1499,,,8188.130855560303,,,,,
,,1499,,55.12189865112305,,,,,,
