problem,problem_label,condition,condition_label,target_size,bin,delta_cost_min,delta_cost_max,delta_cost_mid,weight_mean,weight_q25,weight_q75,count
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,4.0,0.08587074279785156,0.10740852355957031,0.09670639038085938,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,5.0,0.10741233825683594,0.1308727264404297,0.11931037902832031,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,6.0,0.13092422485351562,0.15534400939941406,0.14288902282714844,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,7.0,0.1553478240966797,0.17955780029296875,0.1671428680419922,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,8.0,0.17957687377929688,0.2040081024169922,0.1922168731689453,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,9.0,0.20401573181152344,0.2296733856201172,0.21715736389160156,0.30000001192092896,0.30000001192092896,0.30000001192092896,1224.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,10.0,0.229736328125,0.25525474548339844,0.24170970916748047,0.30000001192092896,0.30000001192092896,0.30000001192092896,1226.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,11.0,0.2552642822265625,0.2811279296875,0.2684173583984375,0.30000001192092896,0.30000001192092896,0.30000001192092896,1224.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,12.0,0.28114891052246094,0.31072425842285156,0.29656076431274414,0.30208692285209454,0.30000001192092896,0.30391645431518555,1226.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,13.0,0.3107566833496094,0.3401603698730469,0.32521724700927734,0.32544068083471184,0.3179912567138672,0.33312416076660156,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,14.0,0.34017181396484375,0.3707752227783203,0.3557567596435547,0.3556259092992666,0.34832000732421875,0.3628396987915039,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,15.0,0.3707771301269531,0.40341758728027344,0.38683128356933594,0.3868495933377013,0.3788309097290039,0.3949718475341797,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,16.0,0.40343379974365234,0.43959999084472656,0.4212665557861328,0.4212906833570831,0.4122447967529297,0.4299812316894531,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,17.0,0.4396018981933594,0.48223018646240234,0.46071434020996094,0.4608085281994878,0.45032310485839844,0.4713325500488281,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,18.0,0.48233604431152344,0.5301370620727539,0.5054035186767578,0.5058052235958623,0.49389123916625977,0.5170207023620605,1224.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,19.0,0.5302162170410156,0.5840816497802734,0.555058479309082,0.5558141798607482,0.5424716472625732,0.5688652992248535,1226.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,20.0,0.5841484069824219,0.6495847702026367,0.6155452728271484,0.6160433407219089,0.5993747711181641,0.6315345764160156,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,21.0,0.6496562957763672,0.7369651794433594,0.6900634765625,0.6904793525228695,0.6696281433105469,0.7116928100585938,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,22.0,0.7370567321777344,0.8864822387695312,0.7989292144775391,0.8032455062866211,0.7665443420410156,0.8386211395263672,1225.0
cvrp100,CVRP,search,CVRP100 ckpt @ CVRP100,100,23.0,0.8865175247192383,1.8992671966552734,1.0263290405273438,1.069409065246582,0.9417037963867188,1.1530942916870117,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,0.0,9.5367431640625e-07,0.01456451416015625,0.007386207580566406,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,1.0,0.014609336853027344,0.02885150909423828,0.021711349487304688,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,2.0,0.028867721557617188,0.043608665466308594,0.03632354736328125,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,3.0,0.04361724853515625,0.05856800079345703,0.05100250244140625,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,4.0,0.05859375,0.07284832000732422,0.06547069549560547,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,5.0,0.07285022735595703,0.08847618103027344,0.08073616027832031,0.30000001192092896,0.30000001192092896,0.30000001192092896,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,6.0,0.08847999572753906,0.10471439361572266,0.09635639190673828,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,7.0,0.1047353744506836,0.1217203140258789,0.1129446029663086,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,8.0,0.12172412872314453,0.1377859115600586,0.12938499450683594,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,9.0,0.1377887725830078,0.1554861068725586,0.14674663543701172,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,10.0,0.15549278259277344,0.17428302764892578,0.1646862030029297,0.30000001192092896,0.30000001192092896,0.30000001192092896,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,11.0,0.1743001937866211,0.1951894760131836,0.18466854095458984,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,12.0,0.19519901275634766,0.2179727554321289,0.20636463165283203,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,13.0,0.21801376342773438,0.24195003509521484,0.22997379302978516,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,14.0,0.2419748306274414,0.2674894332885742,0.25469207763671875,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,15.0,0.26749134063720703,0.2957639694213867,0.2813730239868164,0.30000001192092896,0.30000001192092896,0.30000001192092896,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,16.0,0.2958106994628906,0.32721614837646484,0.3116931915283203,0.3117825449729452,0.30402660369873047,0.3191041946411133,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,17.0,0.3272533416748047,0.3644142150878906,0.3451089859008789,0.3455604494007584,0.33600282669067383,0.35495567321777344,1224.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,18.0,0.3644542694091797,0.4074583053588867,0.3848133087158203,0.38533675602504186,0.37479496002197266,0.39600086212158203,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,19.0,0.40747737884521484,0.4560232162475586,0.4307403564453125,0.430808358484385,0.4189586639404297,0.4427766799926758,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,20.0,0.4560661315917969,0.5154218673706055,0.48262691497802734,0.483765213635503,0.4690513610839844,0.4981098175048828,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,21.0,0.5154352188110352,0.5875453948974609,0.5490331649780273,0.5494828539478536,0.5316314697265625,0.5667181015014648,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,22.0,0.5878047943115234,0.7040271759033203,0.6389732360839844,0.6414389746529715,0.6122331619262695,0.6711568832397461,1225.0
cvrp100,CVRP,transfer,CVRP100 ckpt @ CVRP50,50,23.0,0.7042417526245117,1.7062206268310547,0.8233604431152344,0.8724917952868403,0.7546901702880859,0.9500102996826172,1225.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,6.0,1.0,1.0,1.0,2.4364518749470614,2.5,2.5,735.0
ffsp100,FFSP,search,FFSP100 ckpt @ FFSP100,100,10.0,2.0,2.0,2.0,2.2832136244274848,2.2023196816444397,2.5,602.0
